id,Text,Real
1,The Lok Sabha is elected for a term of five years. Its life can be extended for one year at a time during a national emergency.,0
2,It can be dissolved earlier than its term by the President on the advice of the Prime Minister.,0
3,It can be voted out of power by a debate and vote on a no-confidence motion.,0
4,"During the 13"" Lok Sabha, Bhartiya Janata Party lost a no~confidence motion by one vote and had to resign.",0
5,"The House may have not more than 552 members; 530 elected from the states, 20 from Union Territories and not more than 2 members nominated from the Anglo-Indian Community.",1
6," At present, the strength of the Lok Sabha is 545. ",1
7,Election to the Lok Sabha is by universal adult franchise. Every Indian citizen above the age of 18 can vote for his/her representative in the Lok Sabha.,2
8,"The election is direct but by secret ballot, so that nobody is threatened or coerced into voting for a particular party or an individual.",2
9,"The Election Commission, an autonomous body elected by the President of India, organises, manages and oversees the entire process of election. ",2
10,What's More The provision for the Anglo-Indian community was included at the behest of the British Government to protect their nationals who had decided to stay back.,2
