,original,T5TransformersSummariser,XlmSummariser,Gpt2Summariser,BartTransformersSummariser,average
0,"The Lok Sabha is elected for a term of five years. Its life can be extended for one year at a time during a national emergency. It can be dissolved earlier than its term by the President on the advice of the Prime Minister. It can be voted out of power by a debate and vote on a no-confidence motion. During the 13"" Lok Sabha, Bhartiya Janata Party lost a no~confidence motion by one vote and had to resign.  The House may have not more than 552 members; 530 elected from the states, 20 from Union Territories and not more than 2 members nominated from the Anglo-Indian Community. At present, the strength of the Lok Sabha is 545.  Election to the Lok Sabha is by universal adult franchise. Every Indian citizen above the age of 18 can vote for his/her representative in the Lok Sabha. The election is direct but by secret ballot, so that nobody is threatened or coerced into voting for a particular party or an individual. The Election Commission, an autonomous body elected by the President of India, organises, manages and oversees the entire process of election. What's More The provision for the Anglo-Indian community was included at the behest of the British Government to protect their nationals who had decided to stay back.","During the 13"" Lok Sabha, Bhartiya Janata Party lost a noconfidence motion by one vote and had to resign. the house may have not more than 552 members; 530 elected from the states, 20 from Union Territories and not less than 2 members nominated from anglo-Indian Community.","the lok sabha is elected for a term of five years. its life can be extended for one year at a time during a national emergency. it can be dissolved earlier than its term by the president on the advice of the prime minister. it can be voted out of power by a debate and vote on a no-confidence motion. during the 13 "" lok sabha, bhartiya janata party lost a no ~ confidence motion by one vote and had to resign. the house may have not more than 552 members ; 530 elected from the states, 20 from union territories and not more than 2 members nominated from the anglo-indian community. at present, the strength of the lok sabha is 545. election to the lok sabha is by universal adult franchise. every indian citizen above the age of 18 can vote for his / her representative in the lok sabha. the election is direct but by secret ballot, so that and","The Lok Sabha is elected for a term of five years. Its life can be extended for one year at a time during a national emergency. It can be dissolved earlier than its term by the President on the advice of the Prime Minister. It can be voted out of power by a debate and vote on a no-confidence motion. During the 13"" Lok Sabha, Bhartiya Janata Party lost a no~confidence motion by one vote and had to resign.  The House may have not more than 552 members; 530 elected from the states, 20 from Union Territories and not more than 2 members nominated from the Anglo-Indian Community. At present, the strength of the Lok Sabha is 545.  Election to the Lok Sabha is by universal adult franchise. Every Indian citizen above the age of 18 can vote for his/her representative in the Lok Sabha. The election is direct but by secret ballot, so that nobody is threatened or coerced into voting","The Lok Sabha is elected for a term of five years. Its life can be extended for one year at a time during a national emergency. It can be dissolved earlier than its term by the President on the advice of the Prime Minister. The House may have not more than 552 members; 530 elected from the states, 20 from Union Territories.","The Lok Sabha is elected for a term of five years.
Its life can be extended for one year at a time during a national emergency.
It can be dissolved earlier than its term by the President on the advice of the Prime Minister.
During the 13"" Lok Sabha, Bhartiya Janata Party lost a noconfidence motion by one vote and had to resign.
the house may have not more than 552 members; 530 elected from the states, 20 from Union Territories and not less than 2 members nominated from anglo-Indian Community.
the lok sabha is elected for a term of five years.
its life can be extended for one year at a time during a national emergency.
it can be dissolved earlier than its term by the president on the advice of the prime minister.
it can be voted out of power by a debate and vote on a no-confidence motion."
1,"Term The Rajya Sabha is a permanent House. It cannot be dissolved. When the Lok Sabha is not in session or is dissolved, the permanent house still functions. However, each member of the Rajya Sabha enjoys a six-year tcrm. Every two years one-third of its members retire by rotation. The total strength of the Rajya Sabha cannot be more than 250 of which 238 are elected while 12 arc nominated by the President of India. Election to the Rajya Sabha is done indirectly. The members of the state legislature elect the state representatives to the Rajya Sabha in accordance with the system of proportional representation by means of a single transferable vote. The seats in the Rajya Sabha for each state and Union Territory arc fixed on the basis of its population. A constituency is an area demarcated for the purpose of election. In other words, it is an area or locality with a certain number of people who choose a person to represent them in the Lok Sabha. Each State and Union Territory is divided into territorial constituencies. The division is not based on area but on population. Let us consider Mizoram, Rajasthan and Uttar Pradesh. Uttar Pradesh, a large state with dense population, has 80 constituencies.",every two years one-third of its members retire by rotation. the total strength of the Rajya Sabha cannot be more than 250 of which 238 are elected while 12 arc nominated by the president of India - a tcrm.,"term the rajya sabha is a permanent house. it cannot be dissolved. when the lok sabha is not in session or is dissolved, the permanent house still functions. however, each member of the rajya sabha enjoys a six-year tcrm. every two years one-third of its members retire by rotation. the total strength of the rajya sabha cannot be more than 250 of which 238 are elected while 12 arc nominated by the president of india. election to the rajya sabha is done indirectly. the members of the state legislature elect the state representatives to the rajya sabha in accordance with the system of proportional representation by means of a single transferable vote. the seats in the rajya sabha for each state and union territory arc fixed on the basis of its population. a constituency is an area demarcated for the purpose of election. in other words, it is a","Term The Rajya Sabha is a permanent House. It cannot be dissolved. When the Lok Sabha is not in session or is dissolved, the permanent house still functions. However, each member of the Rajya Sabha enjoys a six-year tcrm. Every two years one-third of its members retire by rotation. The total strength of the Rajya Sabha cannot be more than 250 of which 238 are elected while 12 arc nominated by the President of India. Election to the Rajya Sabha is done indirectly. The members of the state legislature elect the state representatives to the Rajya Sabha in accordance with the system of proportional representation by means of a single transferable vote. The seats in the Rajya Sabha for each state and Union Territory arc fixed on the basis of its population. A constituency is an area demarcated for the purpose of election. In other words, it is an area or locality with a certain number of","Each member of the Rajya Sabha enjoys a six-year tcrm. Every two years one-third of its members retire by rotation. Each State and Union Territory is divided into territorial constituencies. The division is not based on area but on population. Uttar Pradesh, a large state with dense population, has 80 constituencies.","every two years one-third of its members retire by rotation.
Every two years one-third of its members retire by rotation.
the total strength of the Rajya Sabha cannot be more than 250 of which 238 are elected while 12 arc nominated by the president of India - a tcrm.
term the rajya sabha is a permanent house.
it cannot be dissolved.
when the lok sabha is not in session or is dissolved, the permanent house still functions.
however, each member of the rajya sabha enjoys a six-year tcrm.
the total strength of the rajya sabha cannot be more than 250 of which 238 are elected while 12 arc nominated by the president of india.
election to the rajya sabha is done indirectly.
the members of the state legislature elect the state representatives to the rajya sabha in accordance with the system of proportional representation by means of a single transferable vote.
the seats in the rajya sabha for each state and union territory arc fixed on the basis of its population.
a constituency is an area demarcated for the purpose of election."
2,"Justice is not the prerogative of the rich and powerful. Every Indian has the right to seek judicial redressal for injustice done to him/her, whether it is loss of revenue or destruction of environment. He/she can demand to be heard and compensated for his/her loss because the framers of our Constitution, themselves having suffered the ignominy of unfair practices under the British, ensured in the Constitution that Modern India would have an independent judiciary, so that all citizens would feel free to approach the judicial system and settle their disputes lawfully. The Indian judiciary is fully integrated starting with the Apex Court at the top going down to the lowest courts in the districts. The structure of the Indian judicial system is elaborate. It covers major conflict areas such as disputes between two states and goes right down to the level of Lok Adalats that settle the simplest civil disputes at the village level.","every Indian has the right to seek judicial redressal for injustice done to him/her, whether it is loss of revenue or destruction of environment. he/she can demand to be heard and compensated because the framers of our Constitution, themselves having suffered the ignominy of unfair practices under the British, ensured in the Constitution that Modern India would have an independent judiciary so that all citizens would feel free to approach the system and settle their disputes lawfully.","justice is not the prerogative of the rich and powerful. every indian has the right to seek judicial redressal for injustice done to him / her, whether it is loss of revenue or destruction of environment. he / she can demand to be heard and compensated for his / her loss because the framers of our constitution, themselves having suffered the ignominy of unfair practices under the british, ensured in the constitution that modern india would have an independent judiciary, so that all citizens would feel free to approach the judicial system and settle their disputes lawfully. the indian judiciary is fully integrated starting with the apex court at the apex","Justice is not the prerogative of the rich and powerful. Every Indian has the right to seek judicial redressal for injustice done to him/her, whether it is loss of revenue or destruction of environment. He/she can demand to be heard and compensated for his/her loss because the framers of our Constitution, themselves having suffered the ignominy of unfair practices under the British, ensured in the Constitution that Modern India would have an independent judiciary, so that all citizens would feel free to approach the judicial system and settle their disputes lawfully. The Indian judiciary is fully integrated starting with the Apex Court at the top going down to the lowest courts in the",Justice is not the prerogative of the rich and powerful. Every Indian has the right to seek judicial redressal for injustice done to him/her. The structure of the Indian judicial system is elaborate. It covers major conflict areas such as disputes between two states and goes right down to the level of Lok Adalats.,"Justice is not the prerogative of the rich and powerful.
every Indian has the right to seek judicial redressal for injustice done to him/her, whether it is loss of revenue or destruction of environment.
he/she can demand to be heard and compensated because the framers of our Constitution, themselves having suffered the ignominy of unfair practices under the British, ensured in the Constitution that Modern India would have an independent judiciary so that all citizens would feel free to approach the system and settle their disputes lawfully.
justice is not the prerogative of the rich and powerful."
3,"The basic structure of the Supreme Court is patterned on the structure of the Federal Court of India that was set up by the British under the Government of India Act, 1935. It is the highest court of appeal in India. The Supreme Court of India is headed by the Chief Justice of India. He/she has a bench of judges who work with him/her. The Supreme Court consists of the Chief Justice and 25 judges. However, the number of judges may change, and this is fixed by the Parliament. The President of India appoints the Chief Justice after consulting with the judges of the Supreme Court and the Chief Justices of the High Courts. The other judges of the Supreme Court are appointed by the President in consultation with the Chief Justice of India.",the Supreme Court is headed by the Chief Justice of India. he/she has a bench of judges who work with him/her.,"the basic structure of the supreme court is patterned on the structure of the federal court of india that was set up by the british under the government of india act, 1935. it is the highest court of appeal in india. the supreme court of india is headed by the chief justice of india. he / she has a bench of judges who work with him / her. the supreme court consists of the chief justice and 25 judges. however, the number of judges may change, and this is fixed by the parliament. the president of india appoints the chief justice the","The basic structure of the Supreme Court is patterned on the structure of the Federal Court of India that was set up by the British under the Government of India Act, 1935. It is the highest court of appeal in India. The Supreme Court of India is headed by the Chief Justice of India. He/she has a bench of judges who work with him/her. The Supreme Court consists of the Chief Justice and 25 judges. However, the number of judges may change, and this is fixed by the Parliament. The President of India appoints the Chief Justice after consulting with the Chief","The Supreme Court of India is the highest court of appeal in India. It is headed by the Chief Justice of India. He/she has a bench of judges who work with him/her. The number of judges may change, and this is fixed by the Parliament.","He/she has a bench of judges who work with him/her.
the Supreme Court is headed by the Chief Justice of India.
he/she has a bench of judges who work with him/her.
the basic structure of the supreme court is patterned on the structure of the federal court of india that was set up by the british under the government of india act, 1935. it is the highest court of appeal in india.
the supreme court of india is headed by the chief justice of india.
he / she has a bench of judges who work with him / her."
4,"The Supreme Court as the apex court of India has the responsibility to see the smooth functioning of the entire judicial system, so it looks after the administration of all courts of the country and regulates their functioning. It decides on the procedures that have to be adopted and the methods to make the system efficient and effective for all. All decisions and decrees of the Supreme Court are kept as records for future reference. Important decisions in landmark cases of the High Court are also kept as records to raise as points of reference in other cases. One of the important reasons why the Supreme Court is called the ‘Custodian of the Constitution is that it has the power to examine the validity of the laws made by the Union and State Legislatures. In case, any law violates the spirit of the Constitution, the Supreme Court can declare it null and void.",the apex court of india has the responsibility to see the smooth functioning of the entire judicial system. all decisions and decrees are kept as records for future reference and important decisions in landmark cases are also kept to raise as points of reference in other cases.,"the supreme court as the apex court of india has the responsibility to see the smooth functioning of the entire judicial system, so it looks after the administration of all courts of the country and regulates their functioning. it decides on the procedures that have to be adopted and the methods to make the system efficient and effective for all. all decisions and decrees of the supreme court are kept as records for future reference. important decisions in landmark cases of the high court are also kept as records to raise as points of reference in other cases. one of the important reasons why the supreme court is called the'custodian of the constitution is ""","The Supreme Court as the apex court of India has the responsibility to see the smooth functioning of the entire judicial system, so it looks after the administration of all courts of the country and regulates their functioning. It decides on the procedures that have to be adopted and the methods to make the system efficient and effective for all. All decisions and decrees of the Supreme Court are kept as records for future reference. Important decisions in landmark cases of the High Court are also kept as records to raise as points of reference in other cases. One of the important reasons why the Supreme Court is called the ‘Custodian of the Constitution is that it has the power",The Supreme Court as the apex court of India has the responsibility to see the smooth functioning of the entire judicial system. It decides on the procedures that have to be adopted and the methods to make the system efficient and effective for all. The Supreme Court is called the ‘Custodian of the Constitution is that it has the power to examine the validity of the laws made by the Union and State Legislatures.,"It decides on the procedures that have to be adopted and the methods to make the system efficient and effective for all.
the apex court of india has the responsibility to see the smooth functioning of the entire judicial system.
all decisions and decrees are kept as records for future reference and important decisions in landmark cases are also kept to raise as points of reference in other cases.
the supreme court as the apex court of india has the responsibility to see the smooth functioning of the entire judicial system, so it looks after the administration of all courts of the country and regulates their functioning."
5,"The High Court, like the Supreme Court has the responsibility of protecting the Constitution of India. Therefore, it has the right to declare any law or executive order of the state null and void, if it finds that it contradicts or goes against the spirit of Constitution. The 42°* amendment to the Constitution had restricted this authority of the High Court during emergency, but with the repeal of certain sections of the amendment, the powers have been reinstated. It protects the rights of each citizen of the country and sees to it that these rights are not eroded or diluted through misinterpretation or infringement. It does so by issuing writs to the offending parties. The High Courts are there to provide advice to all government agencies and the Governor to resolve problems that they might face regarding constitutional matters. The High Court is responsible for the administration of all courts in the state within its jurisdiction and itself. It has to a see that justice is available to all. Ihe High Court has the | right to frame laws and regulations for Subordinate Courts wp and Tribunal except for Military Tribunals.","the high court has the right to declare any law or executive order of the state null and void, if it finds that it contradicts or goes against the spirit of Constitution. the 42°* amendment to the constitution had restricted this authority during emergency, but with the repeal of certain sections, the powers have been reinstated.","the high court, like the supreme court has the responsibility of protecting the constitution of india. therefore, it has the right to declare any law or executive order of the state null and void, if it finds that it contradicts or goes against the spirit of constitution. the 42 * amendment to the constitution had restricted this authority of the high court during emergency, but with the repeal of certain sections of the amendment, the powers have been reinstated. it protects the rights of each citizen of the country and sees to it that these rights are not eroded or diluted through misinterpretation or infringement. it does so by issuing writs to the offending parties. the high courts are there to provide advice to all government agencies and the governor to resolve problems that they might face regarding constitutional mat1","The High Court, like the Supreme Court has the responsibility of protecting the Constitution of India. Therefore, it has the right to declare any law or executive order of the state null and void, if it finds that it contradicts or goes against the spirit of Constitution. The 42°* amendment to the Constitution had restricted this authority of the High Court during emergency, but with the repeal of certain sections of the amendment, the powers have been reinstated. It protects the rights of each citizen of the country and sees to it that these rights are not eroded or diluted through misinterpretation or infringement. It does so by issuing writs to the offending parties. The High Courts are there to provide advice to all government agencies and the Governor to resolve problems that they might face regarding constitutional matters. The High Court is responsible for the administration of all the","The High Court has the right to declare any law or executive order of the state null and void, if it finds that it contradicts the spirit of Constitution. The High Court is responsible for the administration of all courts in the state within its jurisdiction and itself. It has to a see that justice is available to all.","the high court has the right to declare any law or executive order of the state null and void, if it finds that it contradicts or goes against the spirit of Constitution.
the 42°* amendment to the constitution had restricted this authority during emergency, but with the repeal of certain sections, the powers have been reinstated.
the high court, like the supreme court has the responsibility of protecting the constitution of india.
therefore, it has the right to declare any law or executive order of the state null and void, if it finds that it contradicts or goes against the spirit of constitution.
the 42 * amendment to the constitution had restricted this authority of the high court during emergency, but with the repeal of certain sections of the amendment, the powers have been reinstated.
it protects the rights of each citizen of the country and sees to it that these rights are not eroded or diluted through misinterpretation or infringement.
it does so by issuing writs to the offending parties."
6,"The framers of our Constitution wanted us to live in a nation that upholds freedom of thought and expression and where there is justice for all. For that to happen we need a judicial system that is free from all influences and acts impartially. To maintain the independence of the judiciary certain features were created for those serving in the judicial system:To ensure that judges of the Supreme Court and High Courts do not suffer from insecurity of service, that is, loss of job and are not put under any pressure to deliver judgements in favour of the government, the Constitution clearly states that while the President appoints them, neither he/she nor any other person can remove them from office. ‘ This gives them ease to discharge their duties without any fear of external pressure or loss of their jobs. ‘The salary and perks of the judiciary are charged to the Consolidated Fund of India and neither the Parliament nor the Executive has any control over it. This is why the judges can deliver judgements against the bills passed by the Parliament without any fear of removal. Their personal security and that of their family is the responsibility of the State. This allows them to handle criminal cases dealing with ruthless criminals without fear of any repercussions on themselves or their families. They can declare their decisions in court without fear of censure and criticism in the press.","the framers of our Constitution wanted us to live in a nation that upholds freedom of thought and expression and where there is justice for all. to ensure that judges of the Supreme Court and High Courts do not suffer from insecurity of service, that is, loss of job and are not put under any pressure to deliver judgements in favour of government. they can declare their decisions in court without fear of censure and criticism in the press.","the framers of our constitution wanted us to live in a nation that upholds freedom of thought and expression and where there is justice for all. for that to happen we need a judicial system that is free from all influences and acts impartially. to maintain the independence of the judiciary certain features were created for those serving in the judicial system : to ensure that judges of the supreme court and high courts do not suffer from insecurity of service, that is, loss of job and are not put under any pressure to deliver judgements in favour of the government, the constitution clearly states that while the president appoints them, neither he / she nor any other person can remove them from office.'this gives them ease to discharge their duties without any fear of external pressure or loss of their jobs.'the salary and perks of the judiciary are charged to the consolidated fund of india and neither the parliament nor the executive has any control over it. this is why the judges can deliver judgements against the bills and","The framers of our Constitution wanted us to live in a nation that upholds freedom of thought and expression and where there is justice for all. For that to happen we need a judicial system that is free from all influences and acts impartially. To maintain the independence of the judiciary certain features were created for those serving in the judicial system:To ensure that judges of the Supreme Court and High Courts do not suffer from insecurity of service, that is, loss of job and are not put under any pressure to deliver judgements in favour of the government, the Constitution clearly states that while the President appoints them, neither he/she nor any other person can remove them from office. ‘ This gives them ease to discharge their duties without any fear of external pressure or loss of their jobs. ‘The salary and perks of the judiciary are charged to the Consolidated Fund of India and neither the Parliament nor the Executive has any control over it. This is why the judges can deliver judgements against the bills passed by the",The framers of our Constitution wanted us to live in a nation that upholds freedom of thought and expression. For that to happen we need a judicial system that is free from all influences and acts impartially. To maintain the independence of the judiciary certain features were created for those serving in the judicial system.,"For that to happen we need a judicial system that is free from all influences and acts impartially.
the framers of our Constitution wanted us to live in a nation that upholds freedom of thought and expression and where there is justice for all.
to ensure that judges of the Supreme Court and High Courts do not suffer from insecurity of service, that is, loss of job and are not put under any pressure to deliver judgements in favour of government.
they can declare their decisions in court without fear of censure and criticism in the press.
the framers of our constitution wanted us to live in a nation that upholds freedom of thought and expression and where there is justice for all.
for that to happen we need a judicial system that is free from all influences and acts impartially.
to maintain the independence of the judiciary certain features were created for those serving in the judicial system : to ensure that judges of the supreme court and high courts do not suffer from insecurity of service, that is, loss of job and are not put under any pressure to deliver judgements in favour of the government, the constitution clearly states that while the president appoints them, neither he / she nor any other person can remove them from office."
7,"India was still an agrarian economy and a majority of its population resided in villages. With the advent of British annexation on territories, farmers were forced to grow only cash crops such as indigo, opium and cotton at the cost of food grains. The company bought crops at the lowest possible rate, which meant the farmer made almost no profit. Then the farmers had to buy food grain as they no longer grew it; food grain and vegetables were expensive as they were scarce as not many farmers grew them anymore. This led to starvation deaths and famines. In addition to high expenses and scarcity of food grain, farmers had to pay high taxes to the British which was extracted by the oppressive zamindars, Crops like indigo reduced the quality of the soil and made it unfit for farming food crops. The company’s mishandling of the peasantry clearly shows that the company put short-term profits for themselves over long-term concern for the Indian people.","farmers were forced to grow only cash crops such as indigo, opium and cotton at the cost of food grains. farmers had to buy food grain as they no longer grew it, which led to starvation deaths and famines.","india was still an agrarian economy and a majority of its population resided in villages. with the advent of british annexation on territories, farmers were forced to grow only cash crops such as indigo, opium and cotton at the cost of food grains. the company bought crops at the lowest possible rate, which meant the farmer made almost no profit. then the farmers had to buy food grain as they no longer grew it ; food grain and vegetables were expensive as they were scarce as not many farmers grew them anymore. this led to starvation deaths and famines. in addition to high expenses and scarcity of food grain, farmers had to pay high taxes to the british which was extracted by the british","India was still an agrarian economy and a majority of its population resided in villages. With the advent of British annexation on territories, farmers were forced to grow only cash crops such as indigo, opium and cotton at the cost of food grains. The company bought crops at the lowest possible rate, which meant the farmer made almost no profit. Then the farmers had to buy food grain as they no longer grew it; food grain and vegetables were expensive as they were scarce as not many farmers grew them anymore. This led to starvation deaths and famines. In addition to high expenses and scarcity of food grain, farmers had to pay high taxes to the British which was extracted by the oppressive zamindars, Croats","India was still an agrarian economy and a majority of its population resided in villages. With the advent of British annexation on territories, farmers were forced to grow only cash crops such as indigo, opium and cotton. The company bought crops at the lowest possible rate, which meant the farmer made almost no profit. This led to starvation deaths and famines.","India was still an agrarian economy and a majority of its population resided in villages.
The company bought crops at the lowest possible rate, which meant the farmer made almost no profit.
This led to starvation deaths and famines.
farmers were forced to grow only cash crops such as indigo, opium and cotton at the cost of food grains.
farmers had to buy food grain as they no longer grew it, which led to starvation deaths and famines."
8,"It was not merely a revolt by the British army personnels or rulers of particular regions; it was a massive war which witnessed participation of kings, queens, landlords, peasants, tribals and soldiers alike. While the war actually took place in 1857, the ground for the battlefield was prepared over a course of hundred years. The British, who had initially arrived as traders, gradually embarked on a dual mission of conquest and profit in India. The victory of British troops over Bengal in the Battle of Lord Clive and Mir Zafar Plassey in 1757 was an inception of British rule in India. a With this, British moved on to becoming the rulers of the lands of Bengal, Bihar and Orissa {now Odisha) and the whole of India after 1857. Even though the revolt broke out in 1857, the undercurrents had been felt much earlier. The pursuit of exploitative political and economic policies by the British was largely resented by the diverse sections of the Indian society. All it needed was the proverbial trigger to be pulled, which eventually happened with the hanging of a young sepoy Mangal Pandey. But before you delve into the chronicle of the revolt that eventually turned into a war, it is important to understand the main causes of revolt of 1857.","the war actually took place in 1857, but the ground for the battlefield was prepared over a course of hundred years. the victory of British troops over Bengal in the Battle of Lord Clive and Mir Zafar Plassey in 1757 was an inception of the British rule in India after 1858 - the undercurrents had been felt much earlier.","it was not merely a revolt by the british army personnels or rulers of particular regions ; it was a massive war which witnessed participation of kings, queens, landlords, peasants, tribals and soldiers alike. while the war actually took place in 1857, the ground for the battlefield was prepared over a course of hundred years. the british, who had initially arrived as traders, gradually embarked on a dual mission of conquest and profit in india. the victory of british troops over bengal in the battle of lord clive and mir zafar plassey in 1757 was an inception of british rule in india. a with this, british moved on to becoming the rulers of the lands of bengal, bihar and orissa { now odisha ) and the whole of india after 1857. even though the revolt broke out in 1857, the undercurrents had been felt much earlier. the pursuit of exploitative political and economic policies by the british was largely responsible","It was not merely a revolt by the British army personnels or rulers of particular regions; it was a massive war which witnessed participation of kings, queens, landlords, peasants, tribals and soldiers alike. While the war actually took place in 1857, the ground for the battlefield was prepared over a course of hundred years. The British, who had initially arrived as traders, gradually embarked on a dual mission of conquest and profit in India. The victory of British troops over Bengal in the Battle of Lord Clive and Mir Zafar Plassey in 1757 was an inception of British rule in India. a With this, British moved on to becoming the rulers of the lands of Bengal, Bihar and Orissa {now Odisha) and the whole of India after 1857. Even though the revolt broke out in 1857, the undercurrents had been felt much earlier. The pursuit of exploitative political and economic policies by the British was largely resented","It was not merely a revolt by the British army personnels or rulers of particular regions; it was a massive war which witnessed participation of kings, queens, landlords, peasants, tribals and soldiers alike. While the war actually took place in 1857, the ground for the battlefield was prepared over a course of hundred years.","It was not merely a revolt by the British army personnels or rulers of particular regions; it was a massive war which witnessed participation of kings, queens, landlords, peasants, tribals and soldiers alike.
While the war actually took place in 1857, the ground for the battlefield was prepared over a course of hundred years.
the war actually took place in 1857, but the ground for the battlefield was prepared over a course of hundred years.
the victory of British troops over Bengal in the Battle of Lord Clive and Mir Zafar Plassey in 1757 was an inception of the British rule in India after 1858 - the undercurrents had been felt much earlier.
it was not merely a revolt by the british army personnels or rulers of particular regions ; it was a massive war which witnessed participation of kings, queens, landlords, peasants, tribals and soldiers alike.
while the war actually took place in 1857, the ground for the battlefield was prepared over a course of hundred years.
the british, who had initially arrived as traders, gradually embarked on a dual mission of conquest and profit in india."
9,"Dictatorship or Fascism became an emergent form of government in the early part of the 20th century in Europe. While there were many complex reasons for this, one of the obvious reasons was that Europe was grappling with the concept of democracy. After the First World War, many new nations came into existence. These nations were created by the break up of raperial F empires. Unfortunately, these new states had no clear political legacy as centuries of imperial rule meant that they had no political experience or class of their own other than revolutionaries. So they tried to adopt democracy but occasionally failed. Since the power of politics and its use was still beyond the understanding of most people as they lacked political experience, the few who mastered it bypassed the democratic process for their benefit. ‘ This gave rise to dictatorships all over Europe, most important of which were in Italy and Germany. While dictatorships brought a semblance of political stability to the new state, they were disastrous for the overall political environment of Europe. Dictatorships were based on the attitude that military might is power and power is right. As nations, they became belligerent and aggressive.","after the first world war, many new nations came into existence in the 20th century. they were created by the break up of raperial F empires, which meant they had no clear political legacy as centuries of imperial rule meant no political experience or class of their own other than revolutionaries. despite the power of politics and its use was beyond the understanding of most people, the few who mastered it bypassed the democratic process for their benefit.","dictatorship or fascism became an emergent form of government in the early part of the 20th century in europe. while there were many complex reasons for this, one of the obvious reasons was that europe was grappling with the concept of democracy. after the first world war, many new nations came into existence. these nations were created by the break up of raperial f empires. unfortunately, these new states had no clear political legacy as centuries of imperial rule meant that they had no political experience or class of their own other than revolutionaries. so they tried to adopt democracy but occasionally failed. since the power of politics and its use was still beyond the understanding of most people as they lacked political experience, the few who mastered it bypassed the democratic process for their benefit.'this gave rise to dictatorships all over europe","Dictatorship or Fascism became an emergent form of government in the early part of the 20th century in Europe. While there were many complex reasons for this, one of the obvious reasons was that Europe was grappling with the concept of democracy. After the First World War, many new nations came into existence. These nations were created by the break up of raperial F empires. Unfortunately, these new states had no clear political legacy as centuries of imperial rule meant that they had no political experience or class of their own other than revolutionaries. So they tried to adopt democracy but occasionally failed. Since the power of politics and its use was still beyond the understanding of most people as they lacked political experience, the few who mastered it bypassed the democratic process for their benefit. ‘ This gave rise to dictatorships all over Europe, most important of which were","Dictatorship or Fascism became an emergent form of government in the early part of the 20th century in Europe. Dictatorships were based on the attitude that military might is power and power is right. As nations, they became belligerent and aggressive. This gave rise to dictatorships all over Europe, most important of which were in Italy and Germany.","Dictatorship or Fascism became an emergent form of government in the early part of the 20th century in Europe.
after the first world war, many new nations came into existence in the 20th century.
they were created by the break up of raperial F empires, which meant they had no clear political legacy as centuries of imperial rule meant no political experience or class of their own other than revolutionaries.
despite the power of politics and its use was beyond the understanding of most people, the few who mastered it bypassed the democratic process for their benefit.
dictatorship or fascism became an emergent form of government in the early part of the 20th century in europe.
while there were many complex reasons for this, one of the obvious reasons was that europe was grappling with the concept of democracy.
after the first world war, many new nations came into existence.
these nations were created by the break up of raperial f empires."
