,original,Group 1,Group 2,Group 3,Group 4
0,"The Lok Sabha is elected for a term of five years. Its life can be extended for one year at a time during a national emergency. It can be dissolved earlier than its term by the President on the advice of the Prime Minister. It can be voted out of power by a debate and vote on a no-confidence motion. During the 13"" Lok Sabha, Bhartiya Janata Party lost a no~confidence motion by one vote and had to resign.  The House may have not more than 552 members; 530 elected from the states, 20 from Union Territories and not more than 2 members nominated from the Anglo-Indian Community. At present, the strength of the Lok Sabha is 545.  Election to the Lok Sabha is by universal adult franchise. Every Indian citizen above the age of 18 can vote for his/her representative in the Lok Sabha. The election is direct but by secret ballot, so that nobody is threatened or coerced into voting for a particular party or an individual. The Election Commission, an autonomous body elected by the President of India, organises, manages and oversees the entire process of election. What's More The provision for the Anglo-Indian community was included at the behest of the British Government to protect their nationals who had decided to stay back.","Lok Sabha members are elected for five years.
Its life can be extended if there is a national emergency for one year.
It can be dissolved earlier than its term. The President can ask the Prime Minister to do this.
The government can be removed from office by a debate or a no-confidence vote.
During the 13"" Lok Sabha, the party lost one vote and the prime minister had to resign.
The House may have not more than 552 members; 530 from the states, 20 from the Union Territories and 2 from the ""Anglo-Indian Community"".
The current strength of the house is 545.
Election to the Lok Sabha takes place every four years.
All Indian citizens above the age of 18 can vote in the Parliament of India.
The election is direct but by secret ballot. This means that no one is forced to vote for a certain party or person.
The Election Commission is elected by the President of India. The Commission organises, manages and oversees the election process.
The British government included the Anglo-Indian community because they wanted to protect the British people who had decided to stay in India.
","The Lok Sabha is elected for a term of five years. During a national emergency, its life can be extended for one year.
The government can be removed from office by a debate or a no-confidence vote.
The House may have not more than 552 members; 530 from the states, 20 from the Union Territories and 2 from the ""Anglo-Indian Community"".
Election to the Lok Sabha takes place every year. 
The election is direct but by secret ballot. This means that no one is forced to vote for a certain party or person.
The British government included the Anglo-Indian community because they wanted to protect the British people who had decided to stay in India.","The Lok Sabha is elected for a term of five years. It can be extended for one year at a time during a national emergency. The President can dissolve the body earlier than its term on the advice of the Prime Minister.
During the 13"" Lok Sabha, the Prime Minister of India had to resign because his party lost a no~confidence motion.  The House may have not more than 552 members; 530 elected from the states, 20 from Union Territories and not more than 2 members nominated from the Anglo-Indian Community.
Election to the Lok Sabha is by universal adult franchise. All Indian citizens above the age of 18 can vote for their representative in the Lok Sabha.
The Election Commission, an autonomous body elected by the President of India, organises, manages and oversees the entire process of election. The British Government included the Anglo-Indian community in order to protect their nationals who had decided to stay back.","The Lok Sabha is elected for a term of five years. Its life can be extended for one year at a time during a national emergency. It can be dissolved earlier than its term by the President on the advice of the Prime Minister. A debate and vote on a no-confidence motion is allowed.
The House may have not more than 552 members; 530 elected from the states, 20 from Union Territories and not more than 2 members nominated from the Anglo-Indian Community.  The President of India is the President of the Lok Sabha of the Republic of India.
The election is direct but by secret ballot, so that nobody is threatened or coerced into voting for a particular party or an individual. What's More The provision for the Anglo-Indian community was included at the behest of the British Government to protect their nationals who had decided to stay back. The Election Commission, an autonomous body elected by the President of India, organises, manages and oversees the entire process of election."
1,"Term The Rajya Sabha is a permanent House. It cannot be dissolved. When the Lok Sabha is not in session or is dissolved, the permanent house still functions. However, each member of the Rajya Sabha enjoys a six-year tcrm. Every two years one-third of its members retire by rotation. The total strength of the Rajya Sabha cannot be more than 250 of which 238 are elected while 12 arc nominated by the President of India. Election to the Rajya Sabha is done indirectly. The members of the state legislature elect the state representatives to the Rajya Sabha in accordance with the system of proportional representation by means of a single transferable vote. The seats in the Rajya Sabha for each state and Union Territory arc fixed on the basis of its population. A constituency is an area demarcated for the purpose of election. In other words, it is an area or locality with a certain number of people who choose a person to represent them in the Lok Sabha. Each State and Union Territory is divided into territorial constituencies. The division is not based on area but on population. Let us consider Mizoram, Rajasthan and Uttar Pradesh. Uttar Pradesh, a large state with dense population, has 80 constituencies.","The Rajya Sabha is not elected every year.
It cannot be broken down.
When the Lok Sabha is not in session, the Winter Session is called by the government.
However, each member of the upper house has a 6-year term.
Every two years, a third of the members are replaced.
The total strength of the Rajya Sabha cannot be more than 250. The President of India appoints 12 members of the Rajya Sabha.
The Rajya Sabha is elected indirectly.
The members of the state legislature elect the state representatives to the Rajya Sabha. The members of the state legislature elect the state representatives to the Rajya Sabha.
The seats in the Rajya Sabha are fixed based on the population of each state and Union Territory.
A constituency is an area where people usually vote.
In other words, it is an area or locality with a certain number of people. They choose a person to represent them in the parliament.
Each state and union territory has its own Assembly constituency.
The division is not based on population but area.
For example, Mizoram, Rajasthan and Uttar Pradesh.
Uttar Pradesh is a large state. It has 80 districts and 80 seats.","The Rajya Sabha is a permanent house and cannot be dissolved.
Each member of the Rajya Sabha is given a six-year term. 
The total strength of the Rajya Sabha cannot be more than 250. The President of India appoints 12 members of the Rajya Sabha.
The members of the state legislature elect the state representatives to the Rajya Sabha. The members of the state legislature elect the state representatives to the Rajya Sabha.
A constituency is an area where people usually vote. 
Each state and union territory has its own Assembly constituency. 
For example, Mizoram, Rajasthan and Uttar Pradesh.","Term The Rajya Sabha is a permanent house and it cannot be dissolved. When the Lok Sabha is not in session, the Rajya Sabha is still in session.
Every two years one-third of its members retire by rotation. The total strength of the Rajya Sabha cannot be more than 250 as 12 members are nominated by the President of India and 12 are elected.
The members of the state legislature elect the state representatives to the Rajya Sabha by means of a single transferable vote. The seats in the Rajya Sabha for each state and Union Territory arc fixed on the basis of its population. 
In other words, it is an area or locality with a certain number of people who choose a person to represent them in the Lok Sabha. Territorial constituencies are divided into different areas.
Consider Rajasthan, Uttar Pradesh and Mizoram. Uttar Pradesh is a large state with a large population.","Term The Rajya Sabha is a permanent house. It cannot be dissolved. When the Lok Sabha is not in session or is dissolved, the permanent house still functions. Each member of the Rajya Sabha has a six-year term.
The total strength of the Rajya Sabha cannot be more than 250 of which 238 are elected while 12 arc nominated by the President of India. The members of the state legislature elect the state representatives to the Rajya Sabha by means of a single transferable vote. The members of the state legislature elect the state representatives to the Rajya Sabha.
A constituency is an area for the purpose of election. In other words, it is an area or locality with a certain number of people who choose a person to represent them in the Lok Sabha. Each state and Union Territory has its own constituency.
Consider Rajasthan, Uttar Pradesh and Mizoram. Uttar Pradesh is a large state with a large population."
2,"Justice is not the prerogative of the rich and powerful. Every Indian has the right to seek judicial redressal for injustice done to him/her, whether it is loss of revenue or destruction of environment. He/she can demand to be heard and compensated for his/her loss because the framers of our Constitution, themselves having suffered the ignominy of unfair practices under the British, ensured in the Constitution that Modern India would have an independent judiciary, so that all citizens would feel free to approach the judicial system and settle their disputes lawfully. The Indian judiciary is fully integrated starting with the Apex Court at the top going down to the lowest courts in the districts. The structure of the Indian judicial system is elaborate. It covers major conflict areas such as disputes between two states and goes right down to the level of Lok Adalats that settle the simplest civil disputes at the village level.","Justice is not the power of the powerful and rich.
Every Indian has the right to seek justice for any wrong done to him/her. Whether it is loss of income or damage to the environment.
He/she can demand to be heard and compensated for his/her loss because the framers of our Constitution ensured in the Constitution that all citizens would feel free to approach the judicial system and settle their disputes lawfully. They themselves had suffered the ignominy of unfair practices under the British.
The Indian judiciary is fully integrated. The highest court is the Supreme Court and the lowest court is the district court.
The Indian judicial system is very complex.
It covers major conflict areas such as disputes between two states and goes right down to the level of local government. For example, in India there are Lok Adalats.
","Justice is not the prerogative of the rich and powerful. Every Indian has the right to seek judicial redressal, whether it is loss of revenue or destruction of the environment.
The Indian judiciary is fully integrated starting from the highest court to the lowest courts in the country. 
It covers major conflict areas such as disputes between two states and goes right down to the level of the village level, to the level of local government.","Every Indian has the right to seek judicial redressal for injustice done to him/her, whether it is loss of revenue or destruction of environment. He/she can demand to be heard and compensated for his/her loss because the framers of our Constitution ensured in the Constitution that Modern India would have an independent judiciary, so that all citizens would feel free to approach the judicial system and settle their disputes lawfully.
The structure of the Indian judicial system is elaborate. It goes right down to the level of Lok Adalats, where the simplest civil disputes at the village level are decided by the people of the village. ","Every Indian has the right to seek judicial redressal for injustice done to him/her, whether it is loss of revenue or destruction of environment. He/she can demand to be heard and compensated for his/her loss because the framers of our Constitution ensured in the Constitution that Modern India would have an independent judiciary, so that all citizens would feel free to approach the judicial system and settle their disputes lawfully. The Indian judiciary is fully integrated starting with the Apex Court at the top going down to the lowest courts in the districts.
It covers major conflict areas such as disputes between two states and goes right down to the level of the village level, to the level of local government."
3,"The basic structure of the Supreme Court is patterned on the structure of the Federal Court of India that was set up by the British under the Government of India Act, 1935. It is the highest court of appeal in India. The Supreme Court of India is headed by the Chief Justice of India. He/she has a bench of judges who work with him/her. The Supreme Court consists of the Chief Justice and 25 judges. However, the number of judges may change, and this is fixed by the Parliament. The President of India appoints the Chief Justice after consulting with the judges of the Supreme Court and the Chief Justices of the High Courts. The other judges of the Supreme Court are appointed by the President in consultation with the Chief Justice of India.","The basic structure of the Supreme Court is the same as the Federal Court of India. The Federal Court of India was set up by the British government in 1935.
It is India's highest court of appeal.
The head of the Supreme Court in India is called the Chief Justice.
He/she has a group of people who work for him/her.
The Supreme Court has 25 judges, and one Chief Justice.
However, the number of judges can change. The Parliament sets the number of judges.
The Chief Justice of India is the most powerful judge in India. The President of India appoints the Chief Justice of India.
The President appoints the Chief Justice of India. The Chief Justice of India then tells the President what to do.
","The basic structure of the Supreme Court is the same as the Federal Court of India. The Federal Court of India was set up by the British Government under the Government of India Act, 1935.
He/she has a group of people who work with him/her.
However, the number of judges can change. The Parliament sets the number of judges.
The President appoints the Chief Justice of India. The Chief Justice of India then appoints the other judges.","The Supreme Court of India is the highest court of the Republic of India and the highest court of appeal in India. The Supreme Court of India is headed by the Chief Justice of India, who is also the President of the Republic of India.
The Supreme Court is made up of the Chief Justice and 25 judges. However, the Parliament can change the number of judges.
The President appoints the Chief Justice of India. The Chief Justice of India then appoints the other judges.","The basic structure of the Supreme Court is patterned on the structure of the Federal Court of India that was set up by the British under the Government of India Act, 1935. The Supreme Court of India is headed by the Chief Justice of India. He/she has a bench of judges who work with him/her. 
However, the number of judges may change, and this is fixed by the Parliament. The Chief Justice of India is appointed by the President of India after consulting with the judges of the Supreme Court and the Chief Justices of the High Courts. The other judges of the Supreme Court are appointed by the President."
4,"The Supreme Court as the apex court of India has the responsibility to see the smooth functioning of the entire judicial system, so it looks after the administration of all courts of the country and regulates their functioning. It decides on the procedures that have to be adopted and the methods to make the system efficient and effective for all. All decisions and decrees of the Supreme Court are kept as records for future reference. Important decisions in landmark cases of the High Court are also kept as records to raise as points of reference in other cases. One of the important reasons why the Supreme Court is called the ‘Custodian of the Constitution is that it has the power to examine the validity of the laws made by the Union and State Legislatures. In case, any law violates the spirit of the Constitution, the Supreme Court can declare it null and void.","As the highest court in the country, the Supreme Court of India has the responsibility to make sure that all courts in the country are working properly. It looks after all courts and makes sure that they are working properly.
It decides on the procedures that should be followed and how to make the system work well for everyone.
The Supreme Court's decisions and decisions are kept as records for future reference.
Important decisions from the High Court are also kept as records so that other people can look at them if they need to.
Because of this, the Supreme Court is called the ""Custodian of the Constitution"". Because of this, it has the power to check if the laws made by the state and federal governments are legal.
If a law violates the Constitution, the Supreme Court can declare it is not allowed to be made.
","The Supreme Court of India, as the highest court in the country, is responsible for the smooth functioning of the entire judicial system, so it looks after the administration of all courts of the country and regulates their functioning. It decides on the rules that must be followed and how the system should work.
Important decisions from the High Court are also kept as records so that other people can reference them in other cases. 
If a law violates the Constitution's spirit, the Supreme Court can declare it to be null and void.","The Supreme Court as the apex court of India has the responsibility to see the smooth functioning of the entire judicial system, so it decides on the procedures that have to be adopted and the methods to make the system efficient and effective for all. All decisions and decrees of the Supreme Court are kept as records for future reference. 
One of the important reasons why the Supreme Court is called the ""Custodian of the Constitution"" is that it has the power to check the validity of the laws made by the Union and State Legislatures. The Supreme Court can declare a law to be null and void if it does not meet certain criteria.","The Supreme Court as the apex court of India has the responsibility to see the smooth functioning of the entire judicial system, so it decides on the procedures that have to be adopted and the methods to make the system efficient and effective for all. All decisions and decrees of the Supreme Court are kept as records for future reference. Important decisions in landmark cases of the High Court are also kept as records to raise as points of reference in other cases.
If a law violates the Constitution's spirit, the Supreme Court can declare it to be null and void."
5,"The High Court, like the Supreme Court has the responsibility of protecting the Constitution of India. Therefore, it has the right to declare any law or executive order of the state null and void, if it finds that it contradicts or goes against the spirit of Constitution. The 42°* amendment to the Constitution had restricted this authority of the High Court during emergency, but with the repeal of certain sections of the amendment, the powers have been reinstated. It protects the rights of each citizen of the country and sees to it that these rights are not eroded or diluted through misinterpretation or infringement. It does so by issuing writs to the offending parties. The High Courts are there to provide advice to all government agencies and the Governor to resolve problems that they might face regarding constitutional matters. The High Court is responsible for the administration of all courts in the state within its jurisdiction and itself. It has to a see that justice is available to all. Ihe High Court has the | right to frame laws and regulations for Subordinate Courts wp and Tribunal except for Military Tribunals.","Like the Supreme Court, the High Court has the responsibility to protect the Indian Constitution.
Therefore, it has the right to declare any law or executive order of the state null and void if it goes against the Constitution or does not meet the requirements.
The 42°* amendment to the Constitution had limited the High Court's powers when there was an emergency. However, some parts of the amendment have been changed so that they can still be used.
It protects the rights of each citizen of the country. It also makes sure that these rights are not being abused or broken too much.
It does so by giving out writs to people.
The High Courts are there to help all government agencies and the Governor. They can help them with any problems that they may have about the law.
The High Court of Australia is the highest court in Australia, and the most powerful court in the country.
We must ensure that justice is given to all.
Ihe High Court has the right to set laws and regulations for military tribunals and subordinate courts wp.
","The High Court, like the Supreme Court has the responsibility of protecting the Constitution of India. If it finds that any law or executive order of the state goes against the spirit or the law, it has the right to declare it null and void.
It protects the rights of every person in the country, and it makes sure that these rights are not being abused or broken. 
The High Courts are there to provide advice to the Governor and all government agencies about any problems that they might have with the law.
We must ensure that justice is given to all. 
","The High Court, like the Supreme Court has the responsibility of protecting the Constitution of India. Therefore, it has the right to declare any law or executive order of the state null and void, if it finds that it contradicts or goes against the spirit of Constitution. The 42°* amendment to the Constitution had limited the powers of the High Court, but with the repeal of the amendment, the powers have been reinstated.
It does so by issuing writs to the offending parties. The High Courts are there to provide advice to the Governor and all government agencies on how to deal with constitutional issues. 
It has to a see that justice is available to all. Ihe High Court has the | right to frame laws and regulations except for military tribunals.","The High Court, like the Supreme Court has the responsibility of protecting the Constitution of India. It protects the rights of each citizen of the country and sees to it that these rights are not eroded or diluted through misinterpretation or infringement. The High Court has the right to declare any law or executive order of the state null and void, if it finds that it contradicts or goes against the spirit of Constitution.
The High Courts are there to provide advice to all government agencies and the Governor to resolve problems that they might face regarding constitutional matters. It has to a see that justice is available to all. The High Court is responsible for the administration of all courts within its jurisdiction and itself.
"
6,"The framers of our Constitution wanted us to live in a nation that upholds freedom of thought and expression and where there is justice for all. For that to happen we need a judicial system that is free from all influences and acts impartially. To maintain the independence of the judiciary certain features were created for those serving in the judicial system:To ensure that judges of the Supreme Court and High Courts do not suffer from insecurity of service, that is, loss of job and are not put under any pressure to deliver judgements in favour of the government, the Constitution clearly states that while the President appoints them, neither he/she nor any other person can remove them from office. ‘ This gives them ease to discharge their duties without any fear of external pressure or loss of their jobs. ‘The salary and perks of the judiciary are charged to the Consolidated Fund of India and neither the Parliament nor the Executive has any control over it. This is why the judges can deliver judgements against the bills passed by the Parliament without any fear of removal. Their personal security and that of their family is the responsibility of the State. This allows them to handle criminal cases dealing with ruthless criminals without fear of any repercussions on themselves or their families. They can declare their decisions in court without fear of censure and criticism in the press.","The people who wrote our Constitution wanted us to live in a nation where there is justice for all and freedom of thought and expression.
For this to happen, we need a free judicial system that acts impartially and free from all influence.
To ensure that judges of the Supreme Court and High Courts do not suffer from insecurity of service, that is, loss of job and are not put under any pressure to deliver judgements in favour of the government, the Constitution clearly states that while the President appoints them, neither he/she nor any other person can remove them from office. This means that no one can force the President to remove the judges from office.
This makes it easy for them to carry out their work without fear of pressure or loss of work. ‘
The salary and perks of the judiciary are paid to the Consolidated Fund of India. Neither the Executive nor the Parliament can control this fund.
This is why the judges can make decisions against the government bills without fear of being removed.
Their personal security and their family's is the state's responsibility.
This allows them to handle criminal cases without fear on themselves or their families as they deal with ruthless criminals.
They can say what they think in court without being criticized in the media.
","The framers of our Constitution wanted us to live in a nation where there is justice for all and freedom of thought and expression. For that to happen we need a judicial system that acts impartially and is free from all influences.
This makes it easy for them to carry out their work without fear of losing their jobs or pressure. ‘
This is why the judges can make decisions against the government bills without fear of being removed. 
This allows them to handle criminal cases without fear on themselves or their families as they deal with ruthless criminals. 
","To ensure that judges of the Supreme Court and High Courts do not suffer from insecurity of service, that is, loss of job and are not put under any pressure to deliver judgements in favour of the government, the Constitution clearly states that while the President appoints them, neither he/she nor any other person can remove them from office. To maintain the independence of the judiciary, certain features were created for those serving in the judicial system: The judicial system is free from all influences and acts impartially. The judicial system is free from all influences and acts impartially.
The salary and perks of the judiciary are charged to the Consolidated Fund of India and neither the Parliament nor the Executive has any control over it. This means that the judges can make decisions without fear of being removed by the government.
This allows them to handle criminal cases without fear to their families or themselves. They can declare their decisions in court without fear of criticism and censure in the media. ","To ensure that judges of the Supreme Court and High Courts do not suffer from insecurity of service, that is, loss of job and are not put under any pressure to deliver judgements in favour of the government, the Constitution clearly states that while the President appoints them, neither he/she nor any other person can remove them from office. This gives them ease to discharge their duties without any fear of external pressure or loss of their jobs. To maintain the independence of the judicial system, certain features were created for those serving in the judicial system: The judicial system is free from all influences and acts impartially. The judicial system is free from all influences and acts impartially.
This is why the judges can deliver judgements against the bills passed by the Parliament without any fear of removal. The state is responsible for their personal security and that of their family. This allows them to handle criminal cases without fear of any repercussions on themselves or their families.
"
7,"India was still an agrarian economy and a majority of its population resided in villages. With the advent of British annexation on territories, farmers were forced to grow only cash crops such as indigo, opium and cotton at the cost of food grains. The company bought crops at the lowest possible rate, which meant the farmer made almost no profit. Then the farmers had to buy food grain as they no longer grew it; food grain and vegetables were expensive as they were scarce as not many farmers grew them anymore. This led to starvation deaths and famines. In addition to high expenses and scarcity of food grain, farmers had to pay high taxes to the British which was extracted by the oppressive zamindars, Crops like indigo reduced the quality of the soil and made it unfit for farming food crops. The company’s mishandling of the peasantry clearly shows that the company put short-term profits for themselves over long-term concern for the Indian people.","The economy of India was still based on agriculture. Most people lived in villages.
When the British took over the land, farmers were forced to grow only cash crops. This meant they had to pay more for food than they did before.
The company bought crops at the lowest possible price. This meant that farmers did not make any money.
Then the farmers had to buy food grain because they no longer grew it. They also had to buy food because there was not enough food to go around.
This caused many deaths and famines.
In addition to high expenses and scarcity of food grain, farmers had to pay high taxes to the British. The zamindars took this money by forcing farmers to grow certain crops, such as indigo, which was not good for the soil.
The company's treatment of the peasants shows that the company put short-term profits over the long-term interest of the Indian people.
","India was still an agrarian economy and the majority of its population lived in villages. When the British took control of the land, they forced farmers to grow only cash crops at the cost of food grains. 
Then the farmers had to buy food grain because they no longer grew it. They also had to buy food because there was not enough food to go around.
In addition to high expenses and scarcity of food grain, farmers had to pay high taxes to the British. The zamindars extracted this money by forcing farmers to grow crops like indigo, which reduced the quality of the soil.
","India was still an agrarian economy and a majority of its population resided in villages. When the British took over lands, they forced farmers to grow only cash crops at the cost of food grains. This meant that the farmer made almost no profit because the company bought crops at the lowest possible rate.
This led to starvation deaths and famines. In addition to high expenses and scarcity of food grain, farmers had to pay high taxes to the British. The zamindars extracted this money by forcing them to grow crops like indigo, which reduced the quality of the soil.
","Food grain and vegetables were expensive as they were scarce as not many farmers grew them anymore. The company bought crops at the lowest possible rate, which meant the farmer made almost no profit. Then the farmers had to buy food grain as they no longer grew it; food grain and vegetables were expensive as they were scarce as not many farmers grew them anymore.
In addition to high expenses and scarcity of food grain, farmers had to pay high taxes to the British which was extracted by the oppressive zamindars, Crops like indigo reduced the quality of the soil and made it unfit for farming food crops. The peasantry was treated very badly by the government because they were not given enough food."
8,"It was not merely a revolt by the British army personnels or rulers of particular regions; it was a massive war which witnessed participation of kings, queens, landlords, peasants, tribals and soldiers alike. While the war actually took place in 1857, the ground for the battlefield was prepared over a course of hundred years. The British, who had initially arrived as traders, gradually embarked on a dual mission of conquest and profit in India. The victory of British troops over Bengal in the Battle of Lord Clive and Mir Zafar Plassey in 1757 was an inception of British rule in India. a With this, British moved on to becoming the rulers of the lands of Bengal, Bihar and Orissa {now Odisha) and the whole of India after 1857. Even though the revolt broke out in 1857, the undercurrents had been felt much earlier. The pursuit of exploitative political and economic policies by the British was largely resented by the diverse sections of the Indian society. All it needed was the proverbial trigger to be pulled, which eventually happened with the hanging of a young sepoy Mangal Pandey. But before you delve into the chronicle of the revolt that eventually turned into a war, it is important to understand the main causes of revolt of 1857.","It was not merely a revolt by the British army personnels or rulers of particular regions; it was a massive war in which many people from all parts of the British Empire took part.
While the war actually took place in 1857, the ground for the battlefield had been prepared for a long time.
The British, at first, came to India as traders. Later, they started a mission to conquer and make money in India.
In 1757, the British won the Battle of Plassey. This was the first time that the British had won a battle in what is now India.
With this, the British became the rulers of the whole of India after 1857. They also became the rulers of Bengal and Orissa.
Even though the revolt started in 1857, people had been feeling it for a long time.
The British government's political and economic policies made many people in Indian society unhappy and they did not like them very much.
All it needed was the trigger to be pulled. Mangal Pandey, a young sepoy was found guilty and hanged.
But before you delve into the history of the revolt that eventually turned into a war, you need to know the main reasons for the 1857 revolt.
","It was not merely a revolt by the British army personnels or rulers of particular regions; it was a massive war which witnessed participation of kings, queens, landlords, peasants, tribals and soldiers alike. The ground for the battlefield was prepared over a course of hundred years.
In 1757, the British won the Battle of Plassey. This was the first time that the British had won a battle in India. 
Even though the revolt started in 1857, people had been feeling it for a long time.
All it needed was the trigger to be pulled. Mangal Pandey, a young sepoy, was the first person to be hanged.
","It was not merely a revolt by the British army personnels or rulers of particular regions; it was a massive war which witnessed participation of kings, queens, landlords, peasants, tribals and soldiers alike. The ground for the battlefield was prepared over a course of hundred years. The British, who had initially arrived as traders, gradually embarked on a dual mission of conquest and profit in India.
With this, the British became the rulers of Bengal, Bihar and Orissa after 1857. Even though the revolt broke out in 1857, the feeling had already been there for a long time. 
All it needed was the proverbial trigger to be pulled, which eventually happened with the hanging of a young sepoy Mangal Pandey. However, it is important to understand the main causes of revolt of 1857 before you delve into the chronicle of the revolt.","The British, who had initially arrived as traders, gradually embarked on a dual mission of conquest and profit in India. The victory of British troops over Bengal in the Battle of Lord Clive and Mir Zafar Plassey in 1757 was an inception of British rule in India. While the war actually took place in 1857, the ground for the battlefield was prepared over a course of hundred years. 
Even though the revolt broke out in 1857, the undercurrents had been felt much earlier. All it needed was the proverbial trigger to be pulled, which eventually happened with the hanging of a young sepoy Mangal Pandey. The different sections of the Indian society were largely resented by the British.
"
9,"Dictatorship or Fascism became an emergent form of government in the early part of the 20th century in Europe. While there were many complex reasons for this, one of the obvious reasons was that Europe was grappling with the concept of democracy.After the First World War, many new nations came into existence. These nations were created by the break up of raperial F empires. Unfortunately, these new states had no clear political legacy as centuries of imperial rule meant that they had no political experience or class of their own other than revolutionaries. So they tried to adopt democracy but occasionally failed. Since the power of politics and its use was still beyond the understanding of most people as they lacked political experience, the few who mastered it bypassed the democratic process for their benefit. ‘This gave rise to dictatorships all over Europe, most important of which were in Italy and Germany. While dictatorships brought a semblance of political stability to the new state, they were disastrous for the overall political environment of Europe. Dictatorships were based on the attitude that military might is power and power is right. As nations, they became belligerent and aggressive.","Dictatorship or Fascism became more common in Europe in the early part of the 20th century.
There were many reasons for this, but the most important reason was that Europe was trying to figure out democracy.
After the First World War, many new countries were started.
These nations were created when old empires were broken up.
Unfortunately, these new states had no clear political legacy. They had been ruled by the same people for a long time, so they did not have any political experience.
So they tried democracy, but sometimes it did not work.
Because most people did not know how to use politics, and because they did not have political experience, the few people who knew how to use politics did not use the democratic process.
This gave rise to dictatorships all over Europe. The two most important countries were Italy and Germany.
While dictatorships brought some political stability to the new country, Europe as a whole did not appreciate them very much.
Dictatorships were based on the idea that power was always given to the military.
As countries, they became more aggressive.
","Dictatorship or Fascism became a more common form of government in Europe in the early part of the 20th century. There were many reasons for this, but one of the most important was that Europe was trying to understand democracy.
These nations were created when old empires were broken up. 
So they tried democracy, but sometimes it did not work.
This gave rise to dictatorships all over Europe. The most important were Germany and Italy.
Dictatorships were based on the idea that power was always given to the military.
","Dictatorship or Fascism became an emergent form of government in the early part of the 20th century in Europe. One of the obvious reasons was that Europe was grappling with the concept of democracy. After the First World War, many new nations came into existence. 
Unfortunately, these new states had no clear political legacy because they were ruled by the imperial government for centuries. They had no political experience or class of their own other than revolutionaries. 
This gave rise to dictatorships all over Europe, most important of which were in Italy and Germany. While these dictatorships were good for some countries in Europe, they were not good for all of Europe as a whole.
As countries, they became more aggressive. ","Dictatorship or Fascism became an emergent form of government in the early part of the 20th century in Europe, one of the obvious reasons was that Europe was grappling with the concept of democracy. After the First World War, many new nations came into existence, some of these nations were created by the break up of raperial F empires.
So they tried to adopt democracy, but sometimes it did not work. Because most people did not know how to use politics and because they did not have political experience, the few who learned how to use politics took advantage of the democratic process. This gave rise to dictatorships all over Europe, most important of which were in Italy and Germany.
Dictatorships were based on the idea that power is right and military might is right. As nations, they became aggressive and aggressive.
"
